site_number,site,gacc,state,grup,lat,lng,active,currency,url
161,Lake Isabella old growth,SOCC,CA,Kern County FD,35.679444444444,-118.48111111111,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Lake Isabella old growth&gacc=SOCC&state=CA&grup=Kern County FD
162,Lake Mendocino,NOCC,CA,PGE - NOCC,39.180555555556,-122.17222222222,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Lake Mendocino&gacc=NOCC&state=CA&grup=PGE - NOCC
163,Lakeshore,NOCC,CA,Shasta-Trinity NF,40.870833333333,-122.38972222222,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Lakeshore&gacc=NOCC&state=CA&grup=Shasta-Trinity NF
164,Lamb Canyon,SOCC,CA,SCE,33.905555555556,-116.99888888889,0,1,http://www.wfas.net/nfmd/public/download_site_data.php?site=Lamb Canyon&gacc=SOCC&state=CA&grup=SCE
165,Las Posadas,NOCC,CA,CalFire Lake Napa Unit,38.564444444444,-122.40361111111,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Las Posadas&gacc=NOCC&state=CA&grup=CalFire Lake Napa Unit
166,Las Posadas State Forest,NOCC,CA,CalFire Lake Napa Unit,38.564444444444,-122.40361111111,1,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Las Posadas State Forest&gacc=NOCC&state=CA&grup=CalFire Lake Napa Unit
167,Las Trampas,NOCC,CA,PGE - NOCC,37.816666666667,-122.04555555556,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Las Trampas&gacc=NOCC&state=CA&grup=PGE - NOCC
168,"Laurel Canyon, Mt. Olympus",SOCC,CA,LA County,34.124722222222,-118.36888888889,0,2,"http://www.wfas.net/nfmd/public/download_site_data.php?site=Laurel Canyon, Mt. Olympus&gacc=SOCC&state=CA&grup=LA County"
169,Lava Beds Average,NOCC,CA,Lava Beds National Monument,41.7075,-121.48472222222,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Lava Beds Average&gacc=NOCC&state=CA&grup=Lava Beds National Monument
170,Lee Vining/June Lake,SOCC,CA,SCE,37.863611111111,-119.08805555556,0,1,http://www.wfas.net/nfmd/public/download_site_data.php?site=Lee Vining/June Lake&gacc=SOCC&state=CA&grup=SCE
171,Lincoln Crest,SOCC,CA,SCE,34.585277777778,-118.30416666667,0,1,http://www.wfas.net/nfmd/public/download_site_data.php?site=Lincoln Crest&gacc=SOCC&state=CA&grup=SCE
172,Lockwood New Growth,SOCC,CA,CDF BEU,35.950833333333,-121.00083333333,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Lockwood New Growth&gacc=SOCC&state=CA&grup=CDF BEU
173,Lockwood Old Gorwth,SOCC,CA,CDF BEU,35.950833333333,-121.00083333333,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Lockwood Old Gorwth&gacc=SOCC&state=CA&grup=CDF BEU
174,Lopez Lake,SOCC,CA,CDF San Luis Obispo Unit,35.193333333333,-120.445,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Lopez Lake&gacc=SOCC&state=CA&grup=CDF San Luis Obispo Unit
175,Los Alamos,SOCC,CA,Los Padres NF,34.701388888889,-118.81861111111,0,2,http://www.wfas.net/nfmd/public/download_site_data.php?site=Los Alamos&gacc=SOCC&state=CA&grup=Los Padres NF
176,Los Gatos,SOCC,CA,CDF Fresno-Kings Unit,36.209166666667,-120.51194444444,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Los Gatos&gacc=SOCC&state=CA&grup=CDF Fresno-Kings Unit
177,"Los Robles, Thousand Oaks",SOCC,CA,Ventura County FD,34.171666666667,-118.88222222222,0,2,"http://www.wfas.net/nfmd/public/download_site_data.php?site=Los Robles, Thousand Oaks&gacc=SOCC&state=CA&grup=Ventura County FD"
178,Lower Cow Mountain,NOCC,CA,PGE - NOCC,39.124444444444,-123.12555555556,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Lower Cow Mountain&gacc=NOCC&state=CA&grup=PGE - NOCC
179,Mad Ridge Fuel Break,NOCC,CA,Six Rivers NF,40.429166666667,-123.50055555556,1,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Mad Ridge Fuel Break&gacc=NOCC&state=CA&grup=Six Rivers NF
180,Mad River,NOCC,CA,Six Rivers NF,40.465277777778,-123.53138888889,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Mad River&gacc=NOCC&state=CA&grup=Six Rivers NF
181,Mammoth Airport,SOCC,CA,SCE,37.620277777778,-118.84083333333,0,1,http://www.wfas.net/nfmd/public/download_site_data.php?site=Mammoth Airport&gacc=SOCC&state=CA&grup=SCE
182,Manzanita Lake,NOCC,CA,Lassen NP,40.539722222222,-121.575,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Manzanita Lake&gacc=NOCC&state=CA&grup=Lassen NP
183,Marshall Grade,NOCC,CA,CalFire Amador-Eldorado Unit,38.816111111111,-120.89583333333,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Marshall Grade&gacc=NOCC&state=CA&grup=CalFire Amador-Eldorado Unit
184,McCloud,NOCC,CA,CalFire Siskiyou Unit,41.261944444444,-122.04055555556,0,2,http://www.wfas.net/nfmd/public/download_site_data.php?site=McCloud&gacc=NOCC&state=CA&grup=CalFire Siskiyou Unit
185,McCloud (SHF),NOCC,CA,Shasta-Trinity NF,41.293611111111,-122.05444444444,0,2,http://www.wfas.net/nfmd/public/download_site_data.php?site=McCloud (SHF)&gacc=NOCC&state=CA&grup=Shasta-Trinity NF
186,McKenzie - Prather,SOCC,CA,CDF Fresno-Kings Unit,37.176388888889,-119.58972222222,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=McKenzie - Prather&gacc=SOCC&state=CA&grup=CDF Fresno-Kings Unit
187,Midpines - New Growth,SOCC,CA,CDF Madera-Mariposa-Merced Unit,37.566666666667,-119.925,0,2,http://www.wfas.net/nfmd/public/download_site_data.php?site=Midpines - New Growth&gacc=SOCC&state=CA&grup=CDF Madera-Mariposa-Merced Unit
188,Midpines - Old Growth,SOCC,CA,CDF Madera-Mariposa-Merced Unit,37.566666666667,-119.925,0,2,http://www.wfas.net/nfmd/public/download_site_data.php?site=Midpines - Old Growth&gacc=SOCC&state=CA&grup=CDF Madera-Mariposa-Merced Unit
189,Mineral King,SOCC,CA,Sequoia-Kings NP,36.462222222222,-118.63222222222,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Mineral King&gacc=SOCC&state=CA&grup=Sequoia-Kings NP
190,Miranda,NOCC,CA,CalFire Humboldt Unit,40.216388888889,-123.78083333333,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Miranda&gacc=NOCC&state=CA&grup=CalFire Humboldt Unit
191,Mosquito Ridge Gorman Ranch,NOCC,CA,Tahoe NF,39.011666666667,-120.75777777778,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Mosquito Ridge Gorman Ranch&gacc=NOCC&state=CA&grup=Tahoe NF
192,Mount Hamilton,NOCC,CA,CalFire Santa Clara Unit,37.343888888889,-121.60805555556,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Mount Hamilton&gacc=NOCC&state=CA&grup=CalFire Santa Clara Unit
193,Mount Provo1,SOCC,CA,Stanislaus NF,38.013888888889,-120.18666666667,1,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Mount Provo1&gacc=SOCC&state=CA&grup=Stanislaus NF
194,Mount Shasta,NOCC,CA,Shasta-Trinity NF,41.350555555556,-122.29472222222,0,2,http://www.wfas.net/nfmd/public/download_site_data.php?site=Mount Shasta&gacc=NOCC&state=CA&grup=Shasta-Trinity NF
195,Mountain,SOCC,CA,Camp Pendleton,32.578888888889,-117.47722222222,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Mountain&gacc=SOCC&state=CA&grup=Camp Pendleton
196,Mountain Empire,SOCC,CA,SDG&E,32.765555555556,-116.49027777778,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Mountain Empire&gacc=SOCC&state=CA&grup=SDG&E
197,Mountain Home Ranch,NOCC,CA,PGE - NOCC,38.569722222222,-122.62805555556,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Mountain Home Ranch&gacc=NOCC&state=CA&grup=PGE - NOCC
198,Mountain Quail,NOCC,CA,Tahoe NF,39.64,-120.43527777778,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Mountain Quail&gacc=NOCC&state=CA&grup=Tahoe NF
